no;id;period;y;g;D;alpha_i;x1;x2
1;1;1;1;0;0;0.2079;-0.4662;1
2;1;2;0;0;0;0.2079;-0.4662;1
3;1;3;1;0;0;0.2079;-0.4662;1
4;1;4;0;0;0;0.2079;-0.4662;1
5;1;5;0;0;0;0.2079;-0.4662;1
6;1;6;0;0;0;0.2079;-0.4662;1
7;2;1;1;0;0;0.9098;0.7177;0
8;2;2;0;0;0;0.9098;0.7177;0
9;2;3;1;0;0;0.9098;0.7177;0
10;2;4;1;0;0;0.9098;0.7177;0
11;2;5;1;0;0;0.9098;0.7177;0
12;2;6;0;0;0;0.9098;0.7177;0
13;3;1;1;0;0;0.7093;0.8125;1
14;3;2;1;0;0;0.7093;0.8125;1
15;3;3;0;0;0;0.7093;0.8125;1
16;3;4;0;0;0;0.7093;0.8125;1
17;3;5;0;0;0;0.7093;0.8125;1
18;3;6;1;0;0;0.7093;0.8125;1
19;4;1;0;0;0;-0.3134;1.5399;1
20;4;2;0;0;0;-0.3134;1.5399;1
21;4;3;0;0;0;-0.3134;1.5399;1
22;4;4;1;0;0;-0.3134;1.5399;1
23;4;5;0;0;0;-0.3134;1.5399;1
24;4;6;0;0;0;-0.3134;1.5399;1
25;5;1;1;0;0;-0.4468;-0.1952;1
26;5;2;0;0;0;-0.4468;-0.1952;1
27;5;3;0;0;0;-0.4468;-0.1952;1
28;5;4;1;0;0;-0.4468;-0.1952;1
29;5;5;1;0;0;-0.4468;-0.1952;1
30;5;6;0;0;0;-0.4468;-0.1952;1
31;6;1;1;0;0;0.0534;-1.5125;0
32;6;2;0;0;0;0.0534;-1.5125;0
33;6;3;1;0;0;0.0534;-1.5125;0
34;6;4;0;0;0;0.0534;-1.5125;0
35;6;5;1;0;0;0.0534;-1.5125;0
36;6;6;1;0;0;0.0534;-1.5125;0
37;7;1;0;0;0;0.0546;0.9716;1
38;7;2;0;0;0;0.0546;0.9716;1
39;7;3;0;0;0;0.0546;0.9716;1
